run,canonical_source,input_sha256,source_git_sha,lattice_size,p,num_disorder,q_top_mean,q_top_std,q_top_sem,q_top_ci95_low,q_top_ci95_high,four_start_spread_mean,four_start_spread_std,four_start_spread_sem,four_start_spread_ci95_low,four_start_spread_ci95_high
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.09,512,0.69913915201822918,0.29669603801195538,0.013112236276839707,0.6734396411588438,0.72483866287761456,0.090882096354166664,0.084618025733070895,0.0037396237379045127,0.083552568512142766,0.098211624196190561
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.0925,512,0.67342659301757812,0.30554526141000155,0.013503320393901775,0.64696057137382545,0.69989261466133079,0.086694466145833343,0.073266128962576185,0.0032379360387953578,0.080348228125550147,0.093040704166116539
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.095,512,0.65909439900716149,0.30268162234984558,0.01337676423150759,0.63287642288372303,0.68531237513059995,0.09018486328125,0.080550396900966353,0.0035598582422463228,0.083207669336379145,0.097162057226120854
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.0975,512,0.61735260416666671,0.30321451452362069,0.013400314960864943,0.59108846946187821,0.64361673887145521,0.091944856770833333,0.074281776709945679,0.0032828217518867213,0.085510644369470673,0.098379069172195993
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.1,512,0.58241225382486972,0.31793971481355782,0.014051083022073984,0.55487263715782253,0.6099518704919169,0.097443554687500003,0.086085489245881677,0.0038044770754702838,0.08998691663956998,0.10490019273543003
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.1025,512,0.56454753824869797,0.31493300895077758,0.013918204140536156,0.53726835940377082,0.59182671709362511,0.09776523437500001,0.076754297001444052,0.0033920927434329612,0.091116854765651734,0.10441361398434829
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.105,512,0.54513064778645837,0.31404494307763231,0.013878956802971069,0.51792839230964793,0.5723329032632688,0.092879036458333328,0.067203205395112389,0.0029699901407722715,0.087057962747980625,0.098700110168686031
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.1075,512,0.51718007405598954,0.31054849819229119,0.013724434309941712,0.49028067710031797,0.5440794710116611,0.092925097656249997,0.067786607628084347,0.0029957731204656368,0.087053490234284173,0.098796705078215821
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.11,512,0.487759531656901,0.30887177312482161,0.013650332830854636,0.46100537093144123,0.51451369238236078,0.092622102864583333,0.066974108117601142,0.0029598653758672977,0.086820873328796316,0.09842333240037035
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,7,0.1125,512,0.45805610351562503,0.30943453234780988,0.013675203509776529,0.43125319715520727,0.4848590098760428,0.087150097656250008,0.06435412086958843,0.0028440772040115433,0.081575808767136007,0.09272438654536401
