config,k,p_k,q_k,swap_acceptance_to_k_plus_1,winding_acceptance_rate_mean,winding_accepted_per_chain_mean,winding_attempted_per_chain_mean,sector_flips_per_chain_mean,sector_flip_rate_per_diagnostic_interval,chains_with_sector_flip,num_chains,diagnostic_samples_mean,diagnostic_stride,num_measurements
P_stride_qhot032_m512_s4,2,0.0729633685509879,0.10826739206030414,0.7259288330716902,1.4535728821443106e-05,1.0,68796.0,0.5,0.003937007874015748,1,4,128.0,4,512
P_stride_qhot032_m512_s4,3,0.08612040338074055,0.12355502105019264,0.6909994767137625,1.4535728821443106e-05,1.0,68796.0,0.5,0.003937007874015748,1,4,128.0,4,512
P_stride_qhot032_m512_s4,4,0.10023403916322415,0.13938654934025893,0.6486132914704342,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
P_stride_qhot032_m512_s4,5,0.11515281272540166,0.15558735970110701,0.5972004186289901,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
P_stride_qhot032_m512_s4,6,0.13070985563006426,0.1719871067389061,0.5406855049712193,1.4535728821443106e-05,1.0,68796.0,0.5,0.003937007874015748,1,4,128.0,4,512
P_stride_qhot032_m512_s4,7,0.146731153249344,0.18842555214865583,0.49031920460491885,1.090179661608233e-05,0.75,68796.0,0.5,0.003937007874015748,1,4,128.0,4,512
P_stride_qhot032_m512_s4,8,0.16304322119019324,0.2047569127894798,0.4195447409733124,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
P_stride_qhot032_m512_s4,9,0.17947968176590667,0.22085271061574663,0.3512558869701727,1.090179661608233e-05,0.75,68796.0,2.0,0.015748031496062992,2,4,128.0,4,512
P_stride_qhot032_m512_s4,10,0.19588643394366193,0.23660325120917824,0.28950811093668233,7.267864410721553e-06,0.5,68796.0,3.0,0.023622047244094488,3,4,128.0,4,512
P_stride_qhot032_m512_s4,11,0.21212531086375094,0.2519179441722128,0.23626373626373626,7.267864410721553e-06,0.5,68796.0,5.5,0.04330708661417323,4,4,128.0,4,512
P_stride_qhot032_m512_s4,12,0.22807628295184862,0.2667247181192231,0.20944531658817372,1.8169661026803883e-05,1.25,68796.0,27.25,0.21456692913385828,4,4,128.0,4,512
P_stride_qhot032_m512_s4,13,0.2436383790634235,0.2809687853729252,0.21454735740450026,6.541077969649399e-05,4.5,68796.0,71.5,0.562992125984252,4,4,128.0,4,512
P_stride_qhot032_m512_s4,14,0.25872956222519133,0.29461098862658663,0.25693354264782836,0.00027981277981277983,19.25,68796.0,89.5,0.704724409448819,4,4,128.0,4,512
P_stride_qhot032_m512_s4,15,0.27328581768469024,0.30762592490007873,0.31763474620617477,0.0011119832548403977,76.5,68796.0,92.25,0.7263779527559056,4,4,128.0,4,512
P_stride_qhot032_m512_s4,16,0.2872597003853142,0.32000000000000006,,0.003404994476423048,234.25,68796.0,98.5,0.7755905511811023,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,0,0.05000000000000001,0.08000000000000002,0.761119832548404,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,1,0.06283285692551613,0.0960793318586155,0.7405808477237048,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,2,0.07725602833341093,0.11331750116189565,0.7155939298796441,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,3,0.09310209544943875,0.13145348801824794,0.6615646258503401,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,4,0.11015085227031185,0.15021112181699375,0.608843537414966,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,5,0.12814588345397082,0.1693157152362034,0.5515436944008373,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,6,0.14681245189611616,0.18850791309668907,0.4637624280481424,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,7,0.16587448906125732,0.20755392628727212,0.37885923600209315,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
Q_stride_qhot035_m512_s4,8,0.18506902541390743,0.22625198267365218,0.2751177394034537,1.4535728821443106e-05,1.0,68796.0,1.0,0.007874015748031496,2,4,128.0,4,512
Q_stride_qhot035_m512_s4,9,0.2041571027257682,0.2444353269827505,0.1881214024071167,1.4535728821443106e-05,1.0,68796.0,2.0,0.015748031496062992,2,4,128.0,4,512
Q_stride_qhot035_m512_s4,10,0.22293089113339257,0.26197240125795757,0.12742019884877026,1.4535728821443106e-05,1.0,68796.0,7.5,0.05905511811023622,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,11,0.2412172677198619,0.27876495332695184,0.12637362637362637,2.180359323216466e-05,1.5,68796.0,37.75,0.297244094488189,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,12,0.2588784490212289,0.2947447996827083,0.16588173731030872,0.0001998662712948427,13.75,68796.0,76.5,0.6023622047244094,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,13,0.27581041575712545,0.30986986548357415,0.2316849816849817,0.0010974475260189546,75.5,68796.0,91.25,0.7185039370078741,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,14,0.2919398675782645,0.32411998496211214,0.3093929879644165,0.004084539798825513,281.0,68796.0,95.75,0.7539370078740157,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,15,0.3072203529656482,0.33749280375239565,0.37925170068027214,0.009920634920634922,682.5,68796.0,93.25,0.734251968503937,4,4,128.0,4,512
Q_stride_qhot035_m512_s4,16,0.321628083530623,0.3499999999999999,,0.02020102912960056,1389.75,68796.0,95.25,0.75,4,4,128.0,4,512
R_stride_qhot044_m512_s4,0,0.05000000000000001,0.08000000000000002,0.6135531135531136,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
R_stride_qhot044_m512_s4,1,0.07257695922829767,0.10780963323518476,0.4903192046049189,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
R_stride_qhot044_m512_s4,2,0.09934477306427171,0.13840445533459758,0.3470695970695971,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
R_stride_qhot044_m512_s4,3,0.12925848318441222,0.170476383034992,0.19479330193615907,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
R_stride_qhot044_m512_s4,4,0.1610350016471528,0.20276651473041807,0.07090528519099948,1.4535728821443106e-05,1.0,68796.0,1.0,0.007874015748031496,1,4,128.0,4,512
R_stride_qhot044_m512_s4,5,0.1933817204294536,0.23421760092864904,0.017660910518053373,1.4535728821443106e-05,1.0,68796.0,6.0,0.047244094488188976,4,4,128.0,4,512
R_stride_qhot044_m512_s4,6,0.22517164095918338,0.26404469451881885,0.013605442176870748,1.8169661026803883e-05,1.25,68796.0,43.25,0.3405511811023622,4,4,128.0,4,512
R_stride_qhot044_m512_s4,7,0.2555374247509625,0.29173850689874975,0.040293040293040296,0.000276178847607419,19.0,68796.0,88.5,0.6968503937007874,4,4,128.0,4,512
R_stride_qhot044_m512_s4,8,0.2838918621825495,0.31702788661175546,0.10531135531135531,0.003139717425431711,216.0,68796.0,96.75,0.7618110236220472,4,4,128.0,4,512
R_stride_qhot044_m512_s4,9,0.30989950347439227,0.33982570766949244,0.1826268969126112,0.013154834583406012,905.0,68796.0,99.0,0.7795275590551181,4,4,128.0,4,512
R_stride_qhot044_m512_s4,10,0.3334253141229418,0.36017447545630227,0.2582417582417582,0.03453689167974883,2376.0,68796.0,97.0,0.7637795275590551,4,4,128.0,4,512
R_stride_qhot044_m512_s4,11,0.35447918441159315,0.3781999524527023,0.34955520669806384,0.0707272225129368,4865.75,68796.0,102.75,0.8090551181102362,4,4,128.0,4,512
R_stride_qhot044_m512_s4,12,0.3731667392711824,0.3940754588930067,0.4086865515436944,0.11927292284435141,8205.5,68796.0,97.5,0.7677165354330708,4,4,128.0,4,512
R_stride_qhot044_m512_s4,13,0.38965047323575797,0.4079963732836867,0.47069597069597074,0.1789202860631432,12309.0,68796.0,94.25,0.7421259842519685,4,4,128.0,4,512
R_stride_qhot044_m512_s4,14,0.4041214248138483,0.420163043699763,0.5295656724228153,0.24672219315076457,16973.5,68796.0,95.25,0.75,4,4,128.0,4,512
R_stride_qhot044_m512_s4,15,0.4167798455263962,0.4307700528771291,0.6011250654107797,0.3162865573579859,21759.25,68796.0,96.0,0.7559055118110236,4,4,128.0,4,512
R_stride_qhot044_m512_s4,16,0.42782281437498615,0.43999999999999995,,0.3850986975986976,26493.25,68796.0,91.5,0.7204724409448819,4,4,128.0,4,512
E_pilot2_static_qhot044_m512,0,0.05000000000000001,0.08000000000000002,0.5556102362204725,1.2151258870418975e-05,1.0,82296.0,1.75,0.003424657534246575,4,8,512.0,1,512
E_pilot2_static_qhot044_m512,1,0.07257695922829767,0.10780963323518476,0.47019903762029747,1.2151258870418975e-05,1.0,82296.0,0.75,0.0014677103718199608,3,8,512.0,1,512
E_pilot2_static_qhot044_m512,2,0.09934477306427171,0.13840445533459758,0.3524168853893263,1.0632351511616604e-05,0.875,82296.0,0.5,0.0009784735812133072,2,8,512.0,1,512
E_pilot2_static_qhot044_m512,3,0.12925848318441222,0.170476383034992,0.2308617672790901,1.2151258870418975e-05,1.0,82296.0,1.5,0.0029354207436399216,5,8,512.0,1,512
E_pilot2_static_qhot044_m512,4,0.1610350016471528,0.20276651473041807,0.10361986001749782,9.11344415281423e-06,0.75,82296.0,2.0,0.003913894324853229,7,8,512.0,1,512
E_pilot2_static_qhot044_m512,5,0.1933817204294536,0.23421760092864904,0.02701224846894138,1.0632351511616604e-05,0.875,82296.0,14.75,0.028864970645792562,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,6,0.22517164095918338,0.26404469451881885,0.01186570428696413,9.11344415281423e-06,0.75,82296.0,126.875,0.2482876712328767,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,7,0.2555374247509625,0.29173850689874975,0.031933508311461065,0.00022479828910275105,18.5,82296.0,352.5,0.6898238747553816,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,8,0.2838918621825495,0.31702788661175546,0.08896544181977253,0.0026565689705453483,218.625,82296.0,381.375,0.7463307240704501,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,9,0.30989950347439227,0.33982570766949244,0.17164260717410323,0.012242393311947118,1007.5,82296.0,385.125,0.75366927592955,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,10,0.3334253141229418,0.36017447545630227,0.25770997375328086,0.03389897443375134,2789.75,82296.0,383.75,0.7509784735812133,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,11,0.35447918441159315,0.3781999524527023,0.33262248468941386,0.06916648439778361,5692.125,82296.0,384.375,0.7522015655577299,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,12,0.3731667392711824,0.3940754588930067,0.41048775153105865,0.11828794838145232,9734.625,82296.0,377.625,0.7389921722113502,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,13,0.38965047323575797,0.4079963732836867,0.47304243219597547,0.1788437469621853,14718.125,82296.0,390.5,0.7641878669275929,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,14,0.4041214248138483,0.420163043699763,0.537674978127734,0.24568022747156607,20218.5,82296.0,381.0,0.7455968688845401,8,8,512.0,1,512
E_pilot2_static_qhot044_m512,15,0.4167798455263962,0.4307700528771291,0.5993547681539807,0.31588108778069407,25995.75,82296.0,390.75,0.7646771037181996,8,8,512.0,1,512
